fecha,value
24/04/10,1.180
16/05/10,1.200
27/05/10,1.160
12/06/10,1.180
28/06/10,1.170
21/07/10,1.180
03/09/10,1.160
27/09/10,1.150
19/10/10,1.180
08/11/10,1.170
23/11/10,1.190
04/12/10,1.250
17/12/10,1.250
05/01/11,1.260
24/01/11,1.260
16/02/11,1.280
08/03/11,1.330
01/04/11,1.354
16/04/11,1.354
09/05/11,1.342
27/05/11,1.358
09/06/11,1.317
28/06/11,1.308
11/07/11,1.345
08/09/11,1.349
28/09/11,1.314
11/10/11,1.339
24/10/11,1.312
10/11/11,1.325
21/11/11,1.295
07/12/11,1.295
22/12/11,1.295
09/01/12,1.368
20/01/12,1.383
16/02/12,1.409
10/03/12,1.347
29/03/12,1.505
21/04/12,1.479
19/05/12,1.349
30/05/12,1.416
17/06/12,1.360
26/07/12,1.389
12/08/12,1.459
18/08/12,1.459
21/08/12,1.486
23/08/12,1.549
28/08/12,1.480
14/09/12,1.485
12/10/12,1.518
14/10/12,1.539
31/10/12,1.382
26/11/12,1.389
13/12/12,1.374
06/01/13,1.418
22/01/13,1.410
24/02/13,1.484
23/03/13,1.456
27/03/13,1.440
29/03/13,1.498
31/03/13,1.487
18/04/13,1.401
01/05/13,1.443
04/05/13,1.388
15/06/13,1.435
03/07/13,1.413
06/07/13,1.443
07/07/13,1.422
28/07/13,1.479
11/08/13,1.479
13/08/13,1.479
17/08/13,1.489
20/08/13,1.499
22/08/13,1.489
09/09/13,1.448
